neotoma_names,taxon_name
Alnus viridis subsp. sinuata-type,alnus_viridis_subsp_sinuata_type
Alnus viridis subsp. suaveolens,alnus_viridis_subsp_suaveolens
Aloe,aloe
Aloe-type,aloe_type
Aloysia,aloysia
Alphitonia,alphitonia
Alseis,alseis
Alstonia,alstonia
Alstonia-type,alstonia_type
Alstonia-type (A. boonei),alstonia_type_a_boonei
Alstonia boonei,alstonia_boonei
Amaioua,amaioua
Amanoa,amanoa
Amanoa-type,amanoa_type
Amelanchier,amelanchier
Amelanchier-type,amelanchier_type
Amorpha fruticosa,amorpha_fruticosa
Amperea,amperea
Amperea xiphoclada,amperea_xiphoclada
Amyema,amyema
Amygdaloideae,amygdaloideae
Amyris,amyris
Anacardiaceae,anacardiaceae
Anacardiaceae (20 µm),anacardiaceae_20_mu_m
Anacardiaceae (type 16),anacardiaceae_type_16
Anacardiaceae (type 19),anacardiaceae_type_19
Anacardiaceae (type 20),anacardiaceae_type_20
Anacardiaceae (type 25),anacardiaceae_type_25
Anacardiaceae (type 30),anacardiaceae_type_30
Anacardiaceae (type 35),anacardiaceae_type_35
Anacardiaceae (type I),anacardiaceae_type_i
Anacardiaceae (type II),anacardiaceae_type_ii
Anacardiaceae (type III),anacardiaceae_type_iii
Anacardiaceae cf. Loxopterygium,anacardiaceae_cf_loxopterygium
Anacardiaceae cf. Schinus,anacardiaceae_cf_schinus
Anacardiaceae cf. Spondias,anacardiaceae_cf_spondias
Anacardiaceae undiff.,anacardiaceae_undiff
Anacardium,anacardium
Anacardium-type,anacardium_type
Anadenanthera,anadenanthera
"Anadenanthera (polyad, type 16)",anadenanthera_polyad_type_16
"Anadenanthera (polyad, type 8)",anadenanthera_polyad_type_8
Andira,andira
Andira-type,andira_type
Andrachne,andrachne
Andromeda,andromeda
Andromeda-type,andromeda_type
Andromeda polifolia,andromeda_polifolia
Andromeda polifolia var. latifolia,andromeda_polifolia_var_latifolia
Anemopaegma,anemopaegma
Angophora-type,angophora_type
Angophora/Corymbia,angophora_corymbia
Aningeria-type,aningeria_type
Anisotes,anisotes
Anisotes-type,anisotes_type
Annona,annona
Annona-type,annona_type
Annona (type A),annona_type_a
Annona (type B),annona_type_b
Annona sp.,annona_sp
Annonaceae,annonaceae
Annonaceae cf. Annona,annonaceae_cf_annona
Annonaceae undiff.,annonaceae_undiff
Anodopetalum,anodopetalum
Anogeissus,anogeissus
Anogeissus-type (A. leiocarpa),anogeissus_type_a_leiocarpa
Anopterus,anopterus
Anopterus glandulosus,anopterus_glandulosus
Anopyxis,anopyxis
Anopyxis-type,anopyxis_type
Anopyxis-type klaineana,anopyxis_type_klaineana
Anopyxis klaineana,anopyxis_klaineana
Anthocleista,anthocleista
Anthodiscus,anthodiscus
Anthodon,anthodon
Anthonotha-type,anthonotha_type
Anthostema,anthostema
Anthostema-type,anthostema_type
Anthostema senegalense,anthostema_senegalense
Antiaris-type,antiaris_type
Antiaris-type (A. toxicaria),antiaris_type_a_toxicaria
Antidaphne,antidaphne
Antidaphne-type,antidaphne_type
Antidesma,antidesma
Antidesma-type,antidesma_type
Antidesma-type (A. venosum),antidesma_type_a_venosum
Antidesma venosum,antidesma_venosum
Antirhea,antirhea
Antrocaryon,antrocaryon
Antrocaryon-type,antrocaryon_type
Apeiba,apeiba
Apeiba-type,apeiba_type
Apeiba tibourbou,apeiba_tibourbou
Aphanamixis-type,aphanamixis_type
Aphananthe,aphananthe
Aphloia-type theiformis,aphloia_type_theiformis
Aphloia theiformis,aphloia_theiformis
Apodytes,apodytes
Apodytes dimidiata,apodytes_dimidiata
Apoplanesia,apoplanesia
Aporosa,aporosa
Aporrhiza,aporrhiza
Aporrhiza-type,aporrhiza_type
Apuleia,apuleia
Apuleia-type,apuleia_type
Apuleia leiocarpa,apuleia_leiocarpa
Aquifoliaceae,aquifoliaceae
Aquifoliaceae undiff.,aquifoliaceae_undiff
Araliaceae cf. Didymopanax,araliaceae_cf_didymopanax
Araliaceae cf. Oreopanax,araliaceae_cf_oreopanax
Araucaria,araucaria
Araucaria angustifolia,araucaria_angustifolia
Araucariaceae,araucariaceae
Arbutus,arbutus
Arbutus unedo,arbutus_unedo
Arceuthobium,arceuthobium
Arceuthobium oxycedri,arceuthobium_oxycedri
Arceuthobium/Loranthaceae,arceuthobium_loranthaceae
Arctostaphylos,arctostaphylos
Arctostaphylos uva-ursi,arctostaphylos_uva_minus_ursi
Arctostaphylos uva-ursi-type,arctostaphylos_uva_minus_ursi_type
Arctous alpina,arctous_alpina
Arctous alpina/A. rubra,arctous_alpina_a_rubra
Arcytophyllum,arcytophyllum
Ardisia,ardisia
Arecaceae,arecaceae
Arecaceae-type,arecaceae_type
"Arecaceae-type (Mauritius type 127, de Boer)",arecaceae_type_mauritius_type_127_de_boer
"Arecaceae-type (Mauritius type 137, de Boer)",arecaceae_type_mauritius_type_137_de_boer
"Arecaceae-type (Mauritius type 139, de Boer)",arecaceae_type_mauritius_type_139_de_boer
"Arecaceae-type (tetrad, Mauritius type 2, de Boer)",arecaceae_type_tetrad_mauritius_type_2_de_boer
Arecaceae-type undiff.,arecaceae_type_undiff
Arecaceae (echinate),arecaceae_echinate
"Arecaceae (Mauritius type 132b, de Boer)",arecaceae_mauritius_type_132b_de_boer
Arecaceae (monocolpate),arecaceae_monocolpate
Arecaceae (reticulate),arecaceae_reticulate
Arecaceae (tricolpate),arecaceae_tricolpate
Arecaceae (type 1),arecaceae_type_1
Arecaceae (type 2),arecaceae_type_2
Arecaceae (type 5),arecaceae_type_5
Arecaceae (type A),arecaceae_type_a
Arecaceae (type B),arecaceae_type_b
Arecaceae (type C),arecaceae_type_c
Arecaceae (type D),arecaceae_type_d
Arecaceae (type I),arecaceae_type_i
Arecaceae (type II),arecaceae_type_ii
Arecaceae (type III),arecaceae_type_iii
Arecaceae (type IV),arecaceae_type_iv
Arecaceae (type V),arecaceae_type_v
Arecaceae cf. Desmoncus,arecaceae_cf_desmoncus
Arecaceae cf. Euterpe,arecaceae_cf_euterpe
Arecaceae cf. Geonoma,arecaceae_cf_geonoma
Arecaceae cf. Oenocarpus,arecaceae_cf_oenocarpus
Arecaceae cf. Phytelephas,arecaceae_cf_phytelephas
Arecaceae incertae sedis,arecaceae_incertae_sedis
Arecaceae pro parte,arecaceae_pro_parte
Arecaceae undiff.,arecaceae_undiff
Arecaceae/Bromeliaceae,arecaceae_bromeliaceae
Arenga,arenga
Argania spinosa,argania_spinosa
Argyrella-type canescens,argyrella_type_canescens
Aristotelia,aristotelia
Arrabidaea,arrabidaea
Arrabidaea (type 1),arrabidaea_type_1
Arrabidaea (type 2),arrabidaea_type_2
Artemisia/Gochnatia,artemisia_gochnatia
Arthrocaulon-type,arthrocaulon_type
Arytera,arytera
Ascarina,ascarina
Ascarina lucida,ascarina_lucida
Asimina,asimina
Aspidosperma,aspidosperma
Aspidosperma-type,aspidosperma_type
Aspidosperma aff. A. album,aspidosperma_aff_a_album
Astrocaryum,astrocaryum
Astronium,astronium
Astronium-type,astronium_type
Astronium concinnum,astronium_concinnum
Astronium fraxinifolium,astronium_fraxinifolium
Astronium fraxinifolium (type 3),astronium_fraxinifolium_type_3
Astronium fraxinifolium (type 5),astronium_fraxinifolium_type_5
Astropanax abyssinicus,astropanax_abyssinicus
Astropanax barteri,astropanax_barteri
Astropanax goetzenii-type,astropanax_goetzenii_type
Astropanax mannii-type,astropanax_mannii_type
Astropanax myrianthus,astropanax_myrianthus
Atherosperma,atherosperma
Atherosperma moschatum,atherosperma_moschatum
Athrotaxis/Diselma,athrotaxis_diselma
Atraphaxis,atraphaxis
Atraphaxis-type,atraphaxis_type
Austrobuxus,austrobuxus
Austrocedrus,austrocedrus
Austrocedrus chilensis-type,austrocedrus_chilensis_type
Avicennia,avicennia
Avicennia germinans,avicennia_germinans
Ayenia,ayenia
Azara,azara
Azima tetracantha,azima_tetracantha
Baccaurea,baccaurea
Bactris,bactris
Bactris-type,bactris_type
Baeckea,baeckea
Baeckea/Tristania,baeckea_tristania
Baikiaea,baikiaea
Bakerella,bakerella
Bakerella/Socratina-type,bakerella_socratina_type
Balanites,balanites
Balanites aegyptiaca,balanites_aegyptiaca
Balanites aegyptiaca-type,balanites_aegyptiaca_type
Balanites rotudinfolia-type,balanites_rotudinfolia_type
Balanops,balanops
Balfourodendron,balfourodendron
Banara,banara
Banara-type,banara_type
Banara/Xylosma,banara_xylosma
Banara/Xylosma-type,banara_xylosma_type
Banisteriopsis,banisteriopsis
Banksia,banksia
Banksia marginata,banksia_marginata
Baphia-type,baphia_type
Baphiopsis-type parviflora,baphiopsis_type_parviflora
Baphiopsis parviflora,baphiopsis_parviflora
Barbeya oleoides,barbeya_oleoides
Barbeyaceae,barbeyaceae
Barleria,barleria
Barringtonia,barringtonia
Bathysa,bathysa
Batis,batis
Bauera,bauera
Bauera-type,bauera_type
Bauera rubioides,bauera_rubioides
Bauhinia,bauhinia
Bauhinia-type,bauhinia_type
Bauhinia bicuspidata-type,bauhinia_bicuspidata_type
Bauhinia rufescens,bauhinia_rufescens
Belangera,belangera
Bellendena montana,bellendena_montana
Berberidaceae,berberidaceae
Berberis,berberis
Berberis-type,berberis_type
Berberis repens,berberis_repens
Berberis vulgaris,berberis_vulgaris
Berchemia scandens,berchemia_scandens
Berlinia,berlinia
Berlinia-type,berlinia_type
Bernardia cf. B. pulchella,bernardia_cf_b_pulchella
Bersama,bersama
Bersama abyssinica,bersama_abyssinica
Bersama abyssinica-type,bersama_abyssinica_type
Bertiera,bertiera
Bertiera-type,bertiera_type
Betula,betula
Betula (<20 µm),betula_smaller_than_20_mu_m
Betula (>20 µm),betula_bigger_than_20_mu_m
Betula (>25 µm),betula_bigger_than_25_mu_m
Betula (20-25 µm),betula_20_minus_25_mu_m
Betula (corroded),betula_corroded
Betula (excluding B. nana),betula_excluding_b_nana
Betula (hybrid),betula_hybrid
Betula (large),betula_large
Betula (shrub),betula_shrub
Betula (small),betula_small
Betula (tree),betula_tree
Betula cf. B. fruticosa,betula_cf_b_fruticosa
Betula cf. B. nana,betula_cf_b_nana
Betula cf. B. occidentalis,betula_cf_b_occidentalis
Betula cf. B. pendula,betula_cf_b_pendula
Betula costata,betula_costata
Betula dahurica,betula_dahurica
Betula det. shrub,betula_det_shrub
Betula det. tree,betula_det_tree
Betula ermanii,betula_ermanii
Betula fruticosa,betula_fruticosa
Betula glandulosa,betula_glandulosa
Betula glandulosa-type,betula_glandulosa_type
Betula humilis,betula_humilis
Betula nana,betula_nana
Betula nana-type,betula_nana_type
Betula nana subsp. exilis,betula_nana_subsp_exilis
Betula papyrifera,betula_papyrifera
Betula pendula,betula_pendula
Betula pendula subsp. mandshurica,betula_pendula_subsp_mandshurica
Betula pendula/B. pubescens,betula_pendula_b_pubescens
Betula pubescens,betula_pubescens
Betula pubescens-type,betula_pubescens_type
Betula pubescens var. pumila,betula_pubescens_var_pumila
Betula schmidtii,betula_schmidtii
Betula sect. Apterocaryon,betula_sect_apterocaryon
Betula sect. Apterocaryon-type,betula_sect_apterocaryon_type
Betula sect. Betula,betula_sect_betula
Betula sect. Betula-type,betula_sect_betula_type
Betula sect. Costatae,betula_sect_costatae
Betula spp.,betula_spp
Betula subg. Betula,betula_subg_betula
Betula undiff.,betula_undiff
"Betula/Alnus/Corylus/Myrica (type 114, HdV)",betula_alnus_corylus_myrica_type_114_hd_v
Betula/Carpinus,betula_carpinus
Betula/Corylus,betula_corylus
Betula/Corylus/Myrica,betula_corylus_myrica
Betula/Myrica,betula_myrica
Betulaceae,betulaceae
Betulaceae undiff.,betulaceae_undiff
Beyeria,beyeria
Bignonia,bignonia
Bignonia cf. B. neoheterophylla,bignonia_cf_b_neoheterophylla
Bignoniaceae,bignoniaceae
Bignoniaceae undiff.,bignoniaceae_undiff
Bignoniaceae/Verbenaceae,bignoniaceae_verbenaceae
Billardiera,billardiera
Billardiera scandens,billardiera_scandens
Billia,billia
Bischofia,bischofia
Bismarckia nobilis,bismarckia_nobilis
Blepharandra,blepharandra
Blepharis,blepharis
Blepharis-type,blepharis_type
Blighia,blighia
Blighia-type,blighia_type
Blighia-type (B. unijugata),blighia_type_b_unijugata
Blighia-type unijugata,blighia_type_unijugata
Blighia unijugata-type,blighia_unijugata_type
Bocconia,bocconia
Bocconia-type,bocconia_type
Bocoa,bocoa
Bombacoideae,bombacoideae
Bombacoideae undiff.,bombacoideae_undiff
Bombacopsis,bombacopsis
Bombax,bombax
Bombax (type 2),bombax_type_2
Bombax buonopozense-type,bombax_buonopozense_type
Bombax costatum-type,bombax_costatum_type
Bombax undiff.,bombax_undiff
Bonamia,bonamia
Bonnetia,bonnetia
Boraginales  cf. Cordia,boraginales_cf_cordia
Borassus,borassus
Borassus-type,borassus_type
Borassus-type (B. aethiopum),borassus_type_b_aethiopum
Borassus-type aethiopum,borassus_type_aethiopum
Borassus/Hyphaene,borassus_hyphaene
Borismene,borismene
Boronia,boronia
Boscia-type,boscia_type
Boscia-type angustifolia,boscia_type_angustifolia
Boscia-type salicifolia,boscia_type_salicifolia
Boscia angustifolia,boscia_angustifolia
Boscia senegalensis,boscia_senegalensis
Boscia/Cadaba,boscia_cadaba
Bosqueia,bosqueia
Bosqueia phoberos,bosqueia_phoberos
Bossiaea,bossiaea
Boswellia,boswellia
Botryospermum,botryospermum
Bowdichia,bowdichia
Brachychiton,brachychiton
Brachylaena,brachylaena
Brachystegia,brachystegia
Bravaisia,bravaisia
Bravaisia berlandieriana,bravaisia_berlandieriana
Bridelia,bridelia
Bridelia-type,bridelia_type
Bridelia-type (B. scleroneura),bridelia_type_b_scleroneura
Bridelia-type scleroneura,bridelia_type_scleroneura
Bridelia ferruginea,bridelia_ferruginea
Bridelia ferruginea-type,bridelia_ferruginea_type
Bridelia micrantha,bridelia_micrantha
Bridelia micrantha-type,bridelia_micrantha_type
Bridelia scleroneura,bridelia_scleroneura
Bridelia scleroneura-type,bridelia_scleroneura_type
Brosimum,brosimum
Brosimum alicastrum,brosimum_alicastrum
Browneopsis ucayalina (smaller),browneopsis_ucayalina_smaller
Brucea,brucea
Brucea antidysenterica,brucea_antidysenterica
Bruckenthalia,bruckenthalia
Bruckenthalia-type,bruckenthalia_type
Bruguiera,bruguiera
Bruguiera exaristata-type,bruguiera_exaristata_type
Brunellia,brunellia
Brunellia-type,brunellia_type
Bruniaceae,bruniaceae
Buchanania,buchanania
Buchanania-type,buchanania_type
Buddleja,buddleja
Buddleja-type,buddleja_type
Bumelia,bumelia
Bumelia-type,bumelia_type
Bunchosia,bunchosia
Burkea,burkea
Burkea africana,burkea_africana
Bursaria,bursaria
Bursera,bursera
Bursera-type,bursera_type
Bursera simaruba,bursera_simaruba
Burseraceae,burseraceae
Burseraceae cf. Protium,burseraceae_cf_protium
Burseraceae undiff.,burseraceae_undiff
Butyrospermum,butyrospermum
Buxus,buxus
Buxus hildebrandtii-type,buxus_hildebrandtii_type
Buxus madagascarica,buxus_madagascarica
Buxus madagascarica-type,buxus_madagascarica_type
Buxus sempervirens,buxus_sempervirens
Byrsonima,byrsonima
Byrsonima-type,byrsonima_type
Byrsonima (type 1),byrsonima_type_1
Byttneria,byttneria
Byttneria-type,byttneria_type
Cabralea,cabralea
Cactaceae,cactaceae
Cactaceae-type,cactaceae_type
Cadaba,cadaba
Cadaba-type,cadaba_type
Cadaba benguellensis,cadaba_benguellensis
Cadaba glandulosa,cadaba_glandulosa
Caesalpinia,caesalpinia
Caesalpinia-type,caesalpinia_type
Caesalpinia/Cenostigma,caesalpinia_cenostigma
Caesalpinia/Haematoxylum,caesalpinia_haematoxylum
Caesalpinioideae,caesalpinioideae
Caesalpinioideae (18 µm),caesalpinioideae_18_mu_m
Caesalpinioideae (26 µm),caesalpinioideae_26_mu_m
Caesalpinioideae (type 22),caesalpinioideae_type_22
Caesalpinioideae cf. Senna,caesalpinioideae_cf_senna
Caesalpinioideae undiff.,caesalpinioideae_undiff
Calamus,calamus
Calicotome,calicotome
Calliandra,calliandra
Calligonum,calligonum
Calligonum polygonoides,calligonum_polygonoides
Callistemon,callistemon
Callitris,callitris
Calluna,calluna
Calluna-type,calluna_type
Calluna vulgaris,calluna_vulgaris
Calluna vulgaris-type,calluna_vulgaris_type
Calocedrus,calocedrus
Calophyllum,calophyllum
Calpocalyx-type,calpocalyx_type
Calpocalyx-type (C. letestui),calpocalyx_type_c_letestui
Calpocalyx-type klainei,calpocalyx_type_klainei
Calpocalyx-type letestui,calpocalyx_type_letestui
Calycanthus,calycanthus
Calycobolus,calycobolus
Calycolpus,calycolpus
Calycosia,calycosia
Calytrix,calytrix
Camellia,camellia
Camellia sinensis-type,camellia_sinensis_type
Campnosperma,campnosperma
Campomanesia,campomanesia
Campylospermum,campylospermum
Campylospermum densiflorum,campylospermum_densiflorum
Canarium,canarium
Canarium-type,canarium_type
Cannabaceae,cannabaceae
Cannabaceae undiff.,cannabaceae_undiff
Canotia,canotia
Canthium,canthium
Canthium-type,canthium_type
Canthium gueinzii-type,canthium_gueinzii_type
Canthium schimperianum,canthium_schimperianum
Canthium schimperianum-type,canthium_schimperianum_type
Capparaceae,capparaceae
Capparaceae undiff.,capparaceae_undiff
Capparaceae/Fabaceae,capparaceae_fabaceae
Capparis,capparis
Capparis decidua,capparis_decidua
Capparis erythrocarpos,capparis_erythrocarpos
Capparis fascicularis-type,capparis_fascicularis_type
Capparis tomentosa,capparis_tomentosa
Capparis tomentosa-type,capparis_tomentosa_type
Caprifoliaceae,caprifoliaceae
Caprifoliaceae sensu lato,caprifoliaceae_sensu_lato
Caprifoliaceae sensu lato undiff.,caprifoliaceae_sensu_lato_undiff
Caprifoliaceae undiff.,caprifoliaceae_undiff
Caraipa,caraipa
Carapa,carapa
Carapa-type (C. grandiflora),carapa_type_c_grandiflora
Carapa-type (C. procera),carapa_type_c_procera
Carapa/Ekebergia,carapa_ekebergia
Cariniana,cariniana
Carissa,carissa
Carissa spinarum-type,carissa_spinarum_type
Carpinus,carpinus
Carpinus-type,carpinus_type
Carpinus (corroded),carpinus_corroded
Carpinus betulus,carpinus_betulus
Carpinus betulus-type,carpinus_betulus_type
Carpinus cordata,carpinus_cordata
Carpinus orientalis,carpinus_orientalis
Carpinus orientalis-type,carpinus_orientalis_type
Carpinus tschonoskii,carpinus_tschonoskii
Carpodetus serratus,carpodetus_serratus
Carya,carya
Carya-type,carya_type
Carya cordiformis,carya_cordiformis
Carya glabra-type,carya_glabra_type
Carya ovata,carya_ovata
Carya tomentosa,carya_tomentosa
Carya tomentosa-type,carya_tomentosa_type
Caryocar,caryocar
Caryocar brasiliense,caryocar_brasiliense
Caryocaraceae,caryocaraceae
Caryodendron,caryodendron
Casasia,casasia
Casearia,casearia
Casearia-type,casearia_type
Casearia (reticulate),casearia_reticulate
Casearia (type 1),casearia_type_1
Casearia cf. C. arborea,casearia_cf_c_arborea
Casearia cf. C. commersoniana,casearia_cf_c_commersoniana
Casearia cf. C. sylvestris,casearia_cf_c_sylvestris
Cassia,cassia
Cassia-type,cassia_type
Cassia-type (C. italica),cassia_type_c_italica
Cassia-type (C. mimosoides),cassia_type_c_mimosoides
Cassia (type 2),cassia_type_2
Cassia mimosoides-type,cassia_mimosoides_type
Cassine,cassine
Cassine-type,cassine_type
Cassine orientalis,cassine_orientalis
Cassiope,cassiope
Cassiope-type,cassiope_type
Cassiope tetragona,cassiope_tetragona
Cassiope tetragona-type,cassiope_tetragona_type
Cassipourea,cassipourea
Castanea,castanea
Castanea-type,castanea_type
Castanea dentata,castanea_dentata
Castanea sativa,castanea_sativa
Castanea/Castanopsis,castanea_castanopsis
Castanopsis,castanopsis
Castanopsis/Lithocarpus,castanopsis_lithocarpus
Castela,castela
Castilla-type,castilla_type
Casuarina,casuarina
Casuarina-type,casuarina_type
Casuarina (<23 µm),casuarina_smaller_than_23_mu_m
Casuarina (>23 µm),casuarina_bigger_than_23_mu_m
Casuarina (type B),casuarina_type_b
Casuarina undiff.,casuarina_undiff
Casuarinaceae,casuarinaceae
Catalpa,catalpa
Catha-type,catha_type
Catha-type (C. edulis),catha_type_c_edulis
Catostemma,catostemma
Catunaregam-type,catunaregam_type
Catunaregam nilotica,catunaregam_nilotica
Caucanthus-type,caucanthus_type
Cavanillesia,cavanillesia
Cayratia-type,cayratia_type
Ceanothus,ceanothus
Ceanothus-type,ceanothus_type
Cecropia,cecropia
Cecropia (type 1),cecropia_type_1
Cedrela,cedrela
Cedrela cf. C. fissilis,cedrela_cf_c_fissilis
Cedrus,cedrus
Cedrus-type,cedrus_type
Cedrus (broken),cedrus_broken
Cedrus (crumpled),cedrus_crumpled
Cedrus (degraded),cedrus_degraded
Cedrus atlantica,cedrus_atlantica
